OID_b,FID,COUNT_b,AREA_b,MEAN_b
761,760,159877,159877,0.417945798
762,761,159876,159876,0.001668377
763,762,159910,159910,0.000383441
764,763,159908,159908,0.007224602
765,764,159885,159885,0.026192629
766,765,159909,159909,0.080800504
767,766,159900,159900,0.111191315
768,767,159859,159859,0.088783032
769,768,159887,159887,0.219114033
770,769,159908,159908,0.008830855
771,770,159884,159884,0.005002949
772,771,159908,159908,0.001867359
773,772,159907,159907,0.015555233
774,773,159878,159878,0.019999382
775,774,159884,159884,0.010624287
776,775,159884,159884,0.001205321
777,776,159890,159890,0
778,777,159899,159899,0
779,778,159907,159907,0
780,779,159901,159901,0
781,780,159884,159884,0
782,781,102910,102910,0
783,782,129573,129573,0
784,783,159914,159914,0.009147411
785,784,159890,159890,0.15268008
786,785,159909,159909,0.00972842
787,786,159890,159890,0
788,787,159865,159865,0
789,788,159907,159907,0
790,789,159912,159912,0.004304576
791,790,159896,159896,5.05E-05
792,791,159904,159904,0.065637658
793,792,159912,159912,0.16194718
794,793,159885,159885,0.425220475
795,794,159872,159872,0.23226076
796,795,159899,159899,0.093220811
797,796,159909,159909,0.401463209
798,797,159888,159888,0.199272623
799,798,159911,159911,0.193880128
800,799,159910,159910,0.234031495
801,800,159875,159875,0.178702161
802,801,159886,159886,0.167589307
803,802,159890,159890,0.279033941
804,803,159887,159887,0.281791154
805,804,159908,159908,0.129684346
806,805,159909,159909,0.125404273
807,806,159887,159887,0.070778637
808,807,159902,159902,0.041246224
809,808,159885,159885,0.00176236
810,809,159862,159862,0
811,810,159907,159907,0.001809991
812,811,159909,159909,0.010917808
813,812,159894,159894,0.032577945
814,813,159899,159899,0.005538305
815,814,159907,159907,0.035963639
816,815,159878,159878,0.054659212
817,816,159864,159864,0.118193547
818,817,159904,159904,0
819,818,159908,159908,0.00054663
820,819,159884,159884,0.005573671
821,820,159907,159907,0.002208723
822,821,159907,159907,0
823,822,159857,159857,0
824,823,159884,159884,0
825,824,159901,159901,0
826,825,159882,159882,0
827,826,159907,159907,0
828,827,101997,101997,0
829,828,130489,130489,0
830,829,159908,159908,0
831,830,159889,159889,0.142799072
832,831,159912,159912,0.00478418
833,832,159913,159913,0.002621069
834,833,159889,159889,0
835,834,159894,159894,0
836,835,159888,159888,0
837,836,159874,159874,0.021480796
838,837,159912,159912,0.109696212
839,838,159910,159910,0.159670402
840,839,159889,159889,0.172096656
841,840,159911,159911,0.173100314
842,841,159900,159900,0.251999013
843,842,159864,159864,0.435976941
844,843,159889,159889,0.214300521
845,844,159911,159911,0.196301329
846,845,159893,159893,0.222285637
